Title,Genre,Ratings,Voting_counts,Duration
Four Nights in Fear Forest,Fantasy,N/A,N/A,N/A
Fenómenos naturales,Fantasy,7.2, (30),1h 20m
Two Breaths,Fantasy,8.2, (22),18m
Ebenezer: The Traveler,Fantasy,3.5, (145),1h 42m
Aalan,Fantasy,5.5, (1.1K),2h 17m
Salomé,Fantasy,6.6, (6),1h 55m
Maxxie LaWow: Drag Super-shero,Fantasy,8.7, (58),1h 54m
Les tempêtes,Fantasy,5.7, (21),1h 24m
Soul Traveler (The Feature),Fantasy,4.2, (22),1h 36m
Fragments of Us,Fantasy,7.8, (10),49m
Traces of Love,Fantasy,6.5, (908),1h 45m
The Heartsmith,Fantasy,9.6, (43),1h 35m
The Eye of the Salamander,Fantasy,7.9, (20),1h 21m
Amigo,Fantasy,N/A,N/A,N/A
Chhota Bheem and the Curse of Damyaan,Fantasy,4.8, (2.3K),2h 25m
Fights Break Sphere 3,Fantasy,4.7, (8),1h 21m
Young doctor's notes,Fantasy,3.5, (6),1h 26m
Nie Xiaoqian,Fantasy,6.2, (17),1h 52m
Wayward Sisters,Fantasy,N/A,N/A,N/A
Into the Mortal World,Fantasy,6.8, (154),1h 58m
Dance with the Finless Promise,Fantasy,6.6, (19),N/A
Mother Maker Lover Taker,Fantasy,5.9, (34),1h 39m
Bloodspawn,Fantasy,5.7, (12),1h 16m
War of the Ninja Monsters: Jaron vs Goura,Fantasy,N/A,N/A,55m
Joachim and the Apocalypse,Fantasy,7.2, (13),1h 30m
Young Love,Fantasy,8.1, (10),N/A
Case Files,Fantasy,N/A,N/A,N/A
Wicked Season,Fantasy,5.4, (35),N/A
Supersiostry,Fantasy,3.9, (135),1h 30m
Apokrif,Fantasy,8.7, (20),1h 4m
Samaya bolshaya luna,Fantasy,2.4, (128),1h 45m
Inazuma Eleven the Movie: Prologue to the New Heroes,Fantasy,N/A,N/A,N/A
Witches of God,Fantasy,7.6, (16),1h 13m
Yao Shen Ling,Fantasy,6.7, (66),1h 33m
Vasilisa i khraniteli vremeni,Fantasy,3.1, (68),1h 38m
Sunce nikad vise,Fantasy,7.0, (25),1h 12m
Vidente por Acidente,Fantasy,4.9, (74),1h 33m
Megalodon Returns,Fantasy,3.8, (9),N/A
Spin the Wheel,Fantasy,6.0, (87),1h 42m
Treasure Fellowship,Fantasy,N/A,N/A,1h 26m
10/31 Part 4,Fantasy,5.6, (17),1h 27m
