Title,Genre,Ratings,Voting_counts,Duration
"Gaza, since October 7",History,N/A,N/A,1h 34m
Malês,History,N/A,N/A,N/A
Mythical Creatures,History,N/A,N/A,1h 30m
Pol Pot Dancing,History,7.1, (14),1h 42m
Detor: The Rise of a Warrior Hunter,History,N/A,N/A,2h 6m
The Birth of Korea,History,4.9, (130),1h 41m
Stampila,History,7.4, (9),N/A
North Korea: Dark Secrets,History,5.8, (81),1h 19m
Aliens Uncovered: The Thunder God,History,8.5, (8),N/A
Churchill's Forgotten War,History,7.8, (12),47m
La nostra magnifica ossessione - Bernardo Bertolucci e la sua generazione,History,N/A,N/A,1h 30m
¿De qué casa eres?,History,N/A,N/A,1h 12m
"Colón ADN, su verdadero origen",History,6.3, (50),1h 46m
Rising Tennis Star Meloni Jones,History,N/A,N/A,N/A
Ugly Bird,History,N/A,N/A,N/A
Oda: Vlucht door de Eeuwen,History,6.4, (7),N/A
Isobel,History,N/A,N/A,N/A
Fedeltà Soldati. Prigionieri.,History,N/A,N/A,1h 20m
Nebesko,History,5.2, (10),1h 13m
Saigon,History,N/A,N/A,N/A
Ek Chilte Jol,History,9.3, (12),1h 59m
"...Mayombe, Paula?",History,N/A,N/A,N/A
Pirates & Slaves,History,5.8, (6),53m
The Man Outside,History,7.6, (11),1h 10m
The Queen of Akra,History,N/A,N/A,N/A
Maverick from the Edge,History,N/A,N/A,1h 47m
Toque de Queda,History,N/A,N/A,2h
Synthwave Horror: Night of the Living Dead,History,N/A,N/A,N/A
"Napoléon, Albine, Betsy et les autres",History,N/A,N/A,N/A
Tesouro Natterer,History,N/A,N/A,1h 24m
Last Flamingo of the Red Summer Sunset,History,8.8, (13),1h 20m
Ghost Camera,History,N/A,N/A,1h 41m
Avalanche! The 1910 Great Northern Railway Disaster,History,N/A,N/A,1h 5m
Frederick Douglass - My Path to Freedom,History,N/A,N/A,1h 30m
Azerbaijan Atabeyler,History,7.6, (5),1h 40m
Vernye,History,N/A,N/A,1h 10m
SLON,History,N/A,N/A,N/A
The Hegartys of the Laurels,History,N/A,N/A,N/A
Sisam,History,6.4, (10),N/A
Silence in Sikeston,History,N/A,N/A,56m
Song of the Last Lacandon Holy Man,History,N/A,N/A,1h 7m
Hancsovszky,History,7.8, (21),N/A
Sathur: Part1,History,N/A,N/A,N/A
Xun zhao tang de zhang,History,7.8, (16),1h 33m
Witness to Revolution: One Doctor's Story of the Xinhai Revolution,History,N/A,N/A,57m
Manuscripts,History,N/A,N/A,54m
Dad's Secret War: France 1944,History,N/A,N/A,58m
Burkitt,History,N/A,N/A,1h 13m
Die Mutigen 56 - Deutschlands längster Streik,History,6.6, (10),1h 30m
C'era una volta il Derby Club,History,7.4, (17),1h 30m
2053 - A Best Case Scenario,History,N/A,N/A,58m
"Haïti, la rançon de l'indépendance",History,N/A,N/A,1h 3m
The Lost Colony,History,N/A,N/A,N/A
Los indomables,History,6.5, (9),1h 46m
On the Wing,History,N/A,N/A,1h 26m
O Voo do Crocodilo - O Timor de Ruy Cinatti,History,N/A,N/A,1h 11m
Sinhabahu,History,6.5, (86),1h 52m
Pismo,History,N/A,N/A,1h 11m
Titanus 1904,History,N/A,N/A,1h 15m
Krigsvarsleren,History,7.4, (7),55m
Piri Reis: The Incredible Chart,History,6.9, (22),2h 18m
Theodor,History,N/A,N/A,2h
Andrew Trimble: For Ulster & Ireland,History,N/A,N/A,N/A
Um Tempo de Todos,History,N/A,N/A,2h 12m
A Cowardly Rout: The Bull Run Account of William Howard Russell,History,N/A,N/A,18m
Area 2,History,N/A,N/A,N/A
Triumf,History,7.3, (9),1h 53m
