Title,Genre,Ratings,Voting_counts,Duration
Clone Cops,Sci-Fi,6.3, (206),1h 36m
Mutant,Sci-Fi,4.5, (59),1h 30m
Tokusou Sentai Dekaranger 20th: Fireball Booster,Sci-Fi,7.0, (33),50m
"Aire, Just Breathe",Sci-Fi,4.8, (194),1h 38m
The A-Frame,Sci-Fi,7.2, (38),1h 22m
Electric Child,Sci-Fi,6.5, (69),1h 58m
Transformers Prime: Galavatron's Revenge,Sci-Fi,3.4, (10),1h 44m
Tobias and the Arcane Merchant,Sci-Fi,9.0, (43),2h 47m
Transient,Sci-Fi,6.4, (360),1h 36m
Schirkoa: In Lies We Trust,Sci-Fi,5.6, (158),1h 43m
Dragon Ball Z Kai,Sci-Fi,8.5, (71),1h 22m
Isla Monstro,Sci-Fi,8.6, (8),N/A
Agapouse ta louloudia perissotero,Sci-Fi,5.3, (181),1h 26m
Killer Witches from Outer Space,Sci-Fi,7.1, (78),N/A
Don't F**k with Ghosts,Sci-Fi,6.9, (207),N/A
Night of the Skinwalkers,Sci-Fi,2.5, (711),1h 34m
The Lonely Musketeer,Sci-Fi,7.6, (14),N/A
Ape X Mecha Ape: New World Order,Sci-Fi,2.8, (135),1h 27m
Jurassic Triangle,Sci-Fi,2.5, (281),1h 24m
Dead Dead Demon's Dededede Destruction,Sci-Fi,7.0, (145),2h
Indrani: Epic-1 Dharam vs Karam,Sci-Fi,7.6, (1.1K),2h 37m
Biónica,Sci-Fi,7.1, (10),1h 22m
Bury Your Dead,Sci-Fi,5.5, (80),2h 8m
The Predators,Sci-Fi,N/A,N/A,N/A
Miracle Mirrors,Sci-Fi,6.6, (109),1h 43m
Captain Avispa,Sci-Fi,5.8, (177),1h 36m
Future Date,Sci-Fi,5.6, (125),1h 22m
43 Degrees North,Sci-Fi,N/A,N/A,N/A
SCP: The Infinite Mission,Sci-Fi,6.0, (32),16+
Fuuto PI: Portrait of Kamen Rider Skull,Sci-Fi,7.5, (42),1h 22m
Dark Fusion,Sci-Fi,8.5, (236),1h 30m
Neon Fear,Sci-Fi,5.8, (554),40m
ON i Ona,Sci-Fi,4.5, (67),1h 30m
The 3_2 Pulldown,Sci-Fi,7.9, (13),N/A
C'est le monde à l'envers !,Sci-Fi,5.3, (97),1h 54m
The Deadly Swarm,Sci-Fi,2.5, (189),1h 21m
Spark,Sci-Fi,5.3, (51),1h 50m
Weapon,Sci-Fi,5.4, (5.5K),2h
Lunar Lockdown,Sci-Fi,5.2, (78),1h 39m
Agrinai,Sci-Fi,8.0, (66),1h 33m
Operation War Thunder,Sci-Fi,5.3, (117),1h 14m
The Strange Dark,Sci-Fi,8.9, (39),1h 24m
Addy Daddy,Sci-Fi,7.4, (31),1h 58m
Daha Iyi Bir Yarin,Sci-Fi,6.7, (64),1h 48m
Boomerang,Sci-Fi,7.4, (405),2h 14m
Permafrost,Sci-Fi,5.7, (115),1h 20m
Flashlight,Sci-Fi,4.2, (11),1h 17m
"Die, Daisy, Die!",Sci-Fi,N/A,N/A,1h 30m
Project Dorothy,Sci-Fi,3.9, (3.2K),1h 20m
Rahasyam Idham Jagath,Sci-Fi,7.5, (49),2h 33m
Ascension,Sci-Fi,3.9, (27),1h 37m
Gravediggers,Sci-Fi,6.4, (29),1h 31m
It All Comes with the Cold Water,Sci-Fi,8.3, (149),1h 28m
Inazuma Eleven Movie: The Legendary Kickoff,Sci-Fi,N/A,N/A,N/A
Pandasaurus,Sci-Fi,3.4, (55),1h 18m
The Jump,Sci-Fi,N/A,N/A,45m
Alien Attack at Groom Lake,Sci-Fi,N/A,N/A,1h 11m
Arctic Hollow,Sci-Fi,2.3, (180),1h 10m
The Captives,Sci-Fi,3.5, (66),1h 13m
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Sci-Fi,7.0, (35),1h 11m
Re:Human,Sci-Fi,5.8, (40),1h 48m
Isleen Pines,Sci-Fi,5.2, (542),1h 24m
Dark My Light,Sci-Fi,N/A,N/A,N/A
Offworld: Alien Planet,Sci-Fi,3.5, (112),1h 32m
The Alien Report,Sci-Fi,4.6, (151),1h 21m
Aftermath,Sci-Fi,5.2, (4.4K),1h 18m
Sign Here,Sci-Fi,6.2, (245),1h 40m
Stock Shark,Sci-Fi,7.0, (54),47m
Alien Hunt,Sci-Fi,3.0, (137),1h 20m
Skinjacker,Sci-Fi,6.2, (16),N/A
Kaiju Glam Metal Shark Attack,Sci-Fi,6.4, (26),N/A
The Worlds Divide,Sci-Fi,8.1, (39),2h
23 Horas,Sci-Fi,6.9, (20),N/A
Brush of the God,Sci-Fi,6.5, (13),1h 14m
Franta mimozemstan,Sci-Fi,4.6, (77),1h 38m
Gasmask Girl,Sci-Fi,N/A,N/A,56m
Mame snova 17,Sci-Fi,5.5, (178),1h 48m
I Am Spaceman,Sci-Fi,8.3, (51),N/A
Abaddon's Pit,Sci-Fi,5.6, (43),1h 33m
O Melhor dos Mundos,Sci-Fi,6.2, (43),1h 10m
The Broadcast,Sci-Fi,N/A,N/A,23m
Touch,Sci-Fi,8.0, (11),1h 3m
Interview with an Android,Sci-Fi,N/A,N/A,1h 20m
Quantum Suicide,Sci-Fi,6.3, (18),1h 27m
Itch!,Sci-Fi,N/A,N/A,1h 22m
Darshini,Sci-Fi,8.5, (2.1K),2h
She's God: The Book of Eden,Sci-Fi,N/A,N/A,N/A
Room 0,Sci-Fi,3.1, (213),1h 42m
Dead Dead Demon's Dededede Destruction Zenpen,Sci-Fi,7.1, (140),2h
Raduaa Returns,Sci-Fi,5.3, (72),2h 17m
Vampire's House of Cain,Sci-Fi,4.0, (17),N/A
Horse with No Name,Sci-Fi,7.8, (14),1h 12m
Alien Love,Sci-Fi,5.3, (54),1h 15m
From Within,Sci-Fi,N/A,N/A,N/A
Rani Rani Rani,Sci-Fi,6.8, (24),1h 37m
Friends of Sophia,Sci-Fi,5.5, (15),25m
Dank Frank,Sci-Fi,N/A,N/A,1h 22m
Kuramerukagari,Sci-Fi,5.8, (82),1h 1m
Yesterday After Tomorrow,Sci-Fi,5.2, (316),2h
Peas and Carrots,Sci-Fi,N/A,N/A,1h 36m
A Coffin of Stars,Sci-Fi,N/A,N/A,1h 40m
