Title,Genre,Ratings,Voting_counts,Duration
10 Lives,Family,5.9, (1.9K),1h 28m
Doraemon the Movie: Nobita's Earth Symphony,Family,6.6, (1.5K),1h 55m
Chuck Billy and the Marvelous Guava Tree,Family,7.4, (1K),1h 30m
200% Wolf,Family,5.9, (1.3K),1h 38m
Meiyazhagan,Family,8.4, (14K),2h 57m
Panda Plan,Family,5.1, (1.3K),1h 39m
The Tiger's Apprentice,Family,5.7, (2.2K),1h 24m
Bambi: A Tale of Life in the Woods,Family,5.7, (174),1h 18m
Panda Bear in Africa,Family,5.5, (347),1h 24m
Woodwalkers,Family,5.3, (436),1h 43m
Autumn and the Black Jaguar,Family,5.6, (1K),1h 40m
Crayon Shin-chan: Ora's Dinosaur Diary,Family,6.4, (358),1h 46m
Bibi Rajni,Family,8.5, (723),2h 23m
A Brother and 7 Siblings,Family,8.6, (1.2K),2h 9m
Super-Charlie,Family,5.8, (122),1h 20m
Runt,Family,6.4, (530),1h 31m
A Sloth Story,Family,5.6, (206),1h 30m
Mountain Boy,Family,8.3, (24),1h 33m
Rebellious,Family,6.0, (195),1h 34m
And the Breadwinner Is...,Family,6.7, (262),2h 3m
Ryan's World the Movie: Titan Universe Adventure,Family,1.8, (692),1h 20m
The Night Before Christmas in Wonderland,Family,6.3, (518),1h 20m
Man and Witch: The Dance of a Thousand Steps,Family,5.5, (332),1h 34m
Elli and the Ghostly Ghost Train,Family,5.1, (101),1h 26m
Noah's Ark,Family,4.3, (662),1h 36m
The Groomsmen: First Look,Family,6.1, (389),1h 22m
Savages,Family,6.8, (343),1h 27m
Dongeng Sang Kancil,Family,6.7, (173),1h 39m
2nd Miracle in Cell No. 7,Family,7.8, (218),2h 27m
A Sudden Case of Christmas,Family,5.1, (1.1K),1h 31m
Home Sweet Loan,Family,8.1, (942),1h 52m
The Magician's Raincoat,Family,5.5, (106),N/A
Bila Esok Ibu Tiada,Family,6.7, (322),1h 44m
Der Buchspazierer,Family,7.3, (397),1h 38m
Fear,Family,8.4, (2.8K),1h 55m
Marry Christmas,Family,6.7, (61),1h 25m
Robin and the Hoods,Family,4.3, (512),1h 40m
Gracie and Pedro: Pets to the Rescue,Family,5.1, (276),1h 27m
School of Magical Animals 3,Family,5.8, (315),1h 45m
Return to Wickensburg,Family,5.0, (30),1h 28m
Big City Greens the Movie: Spacecation,Family,6.2, (543),1h 23m
The Neon Highway,Family,6.0, (492),1h 53m
Believe in Christmas,Family,6.1, (829),1h 30m
A Nashville Wish,Family,5.7, (93),1h 42m
Living Large,Family,7.0, (123),1h 20m
Babah,Family,6.7, (168),2h 9m
No Time to Spy: A Loud House Movie,Family,6.4, (450),1h 21m
Disaster Holiday,Family,4.8, (702),1h 33m
Kvitebjørn,Family,5.9, (62),1h 25m
Dalia y el Libro Rojo,Family,6.4, (92),1h 47m
Father There is Only One 4,Family,5.2, (617),1h 30m
The Primrose Railway Children,Family,5.0, (144),1h 21m
Rajkumar,Family,7.4, (2.7K),2h 25m
Like a Rolling Stone,Family,7.7, (444),1h 46m
Kid Santa,Family,N/A,N/A,N/A
Brewster's Millions: Christmas,Family,5.6, (190),1h 40m
Rally Caps,Family,5.5, (140),1h 40m
"Die Heinzels: Neue Mützen, Neue Mission",Family,6.4, (91),1h 16m
Kattis Gang,Family,6.0, (413),2h 24m
Cup,Family,8.5, (69),2h 26m
Rajakili,Family,6.7, (588),2h 2m
My Freaky Family,Family,6.3, (406),1h 26m
Ghost Cat Anzu,Family,6.5, (774),1h 37m
My Oni Girl,Family,6.0, (1.7K),1h 52m
"Maya, donne-moi un titre",Family,6.4, (54),1h 1m
14 Days Love,Family,7.6, (10),1h 52m
Going Viral,Family,6.9, (53),1h 30m
SuperKlaus,Family,4.3, (202),1h 28m
Paper Flowers,Family,8.8, (33),1h 40m
Juliette au printemps,Family,6.4, (261),1h 35m
Heartsping : Teenieping of Love,Family,7.1, (24),TV-Y
The Snow Sister,Family,7.0, (2.1K),1h 36m
Diplodocus,Family,6.3, (178),1h 30m
Guest from the Future,Family,6.0, (1.2K),2h 21m
"Love, Sitara",Family,5.3, (297),1h 45m
Victoria må dø,Family,5.9, (364),1h 25m
