Title,Genre,Ratings,Voting_counts,Duration
Fuuto PI: Portrait of Kamen Rider Skull,Animation,7.5, (42),1h 22m
Exorcism Chronicles: The Beginning,Animation,7.1, (99),1h 25m
Mustafa,Animation,6.9, (73),1h 15m
The Summer of Mermaid,Animation,9.1, (97),N/A
Boonie Bears: Time Twist,Animation,6.0, (167),1h 45m
Rock Bottom,Animation,6.9, (43),1h 26m
The Umbrella Fairy,Animation,5.5, (54),1h 35m
Inazuma Eleven Movie: The Legendary Kickoff,Animation,N/A,N/A,N/A
Il segreto di Liberato,Animation,7.3, (218),1h 30m
Tri kota. Zimnie kanikuly,Animation,6.5, (31),1h 5m
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Animation,7.0, (35),1h 11m
Masha i Medved v kino: Park chudes,Animation,7.6, (17),58m
Slocum et moi,Animation,7.3, (73),1h 15m
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Animation,7.4, (72),1h 10m
Quo Vadis,Animation,6.6, (508),1h 30m
The Formula for Water,Animation,4.5, (31),1h 26m
The Worlds Divide,Animation,8.1, (39),2h
Benjamin Bat,Animation,7.9, (30),1h 15m
Transformers: 40th Anniversary Event,Animation,7.3, (29),1h 36m
"Robotia, the Movie",Animation,7.7, (29),1h 26m
Bob a Bobek ve filmu: Na stope Mrkvojeda,Animation,7.5, (27),1h 20m
Bartali's Bicycle,Animation,7.8, (5),1h 20m
DreadClub: Vampire's Verdict,Animation,5.1, (58),N/A
Norbert,Animation,6.6, (12),1h 15m
Motu Patlu & The Race to the Diamond Valley,Animation,7.8, (27),1h 12m
Tri bogatyrya. Ni dnya bez podviga,Animation,5.7, (69),1h 1m
Tay 2: Ebabil Takimi,Animation,5.2, (38),1h 18m
Double Tuckerr,Animation,4.9, (1.2K),2h
Inanimate Insanity II: The Movie,Animation,8.4, (232),1h 46m
Rocky and Bullwinkle,Animation,9.2, (13),1h 40m
PAPmusic - Animation for Fashion,Animation,1.0, (137),1h 25m
A Few Moments of Cheers,Animation,7.1, (39),1h 8m
Uma & Haggen: Mitos,Animation,7.3, (47),1h 34m
Dead Dead Demon's Dededede Destruction Zenpen,Animation,7.1, (140),2h
Dikkie Dik en de Verdwenen Knuffel,Animation,7.3, (130),1h 2m
Teacher's Pet,Animation,5.5, (36),N/A
Lilla spöket Laban spökar igen,Animation,6.2, (27),44m
Kuramerukagari,Animation,5.8, (82),1h 1m
Rocket Club: Across the Cosmos,Animation,8.4, (19),1h 8m
Code Geass: Rozé of the Recapture - Part 1,Animation,7.6, (42),1h 14m
"Silex and the City, le film",Animation,4.9, (50),1h 17m
Dinosaur Empire,Animation,N/A,N/A,N/A
Riki Rhino: The Bird Kingdom,Animation,5.1, (24),1h 49m
Appu,Animation,8.6, (182),1h 32m
Kral Sakir: Devler Uyandi,Animation,5.4, (66),N/A
Nature Cat's Nature Movie Special Extraordinaire,Animation,7.3, (19),53m
Le parfum d'Irak,Animation,8.1, (42),1h 35m
Motu Patlu & The Rise of Zombies,Animation,6.6, (15),1h 14m
Meitantei Conan Bâsasu Kaitô Kiddo,Animation,6.1, (162),1h 21m
Nothing Unusual,Animation,9.7, (12),1h 32m
Mobile Suit Gundam: Silver Phantom,Animation,6.1, (13),1h 30m
Maxxie LaWow: Drag Super-shero,Animation,8.7, (58),1h 54m
The Greatest Surf Movie in the Universe,Animation,5.4, (8),1h 21m
